grade,subject_code,subject_label,skill_code,chapter_code,content_type,decision,status,content_id,version_id,code,difficulty,structural_pass,approval_candidate
FR-4E,GEOGRAPHY,Géographie,SK-ENR-GEOGRAPHY-4E-MOBILITY-TOURISM,CH-GEOGRAPHY-4E-MOBILITY,assessment,REVIEW,draft,108708,108710,DRAFT-0012C-AI-ENR-GEOGRAPHY-4E-MOBILITY-TOURISM-ASSESSMENT-20260726111108-1,2,True,False
FR-4E,GEOGRAPHY,Géographie,SK-ENR-GEOGRAPHY-4E-URBANIZATION-GROWTH,CH-GEOGRAPHY-4E-URBANIZATION,practice,REVIEW,draft,108736,108738,DRAFT-0012C-AI-ENR-GEOGRAPHY-4E-URBANIZATION-GROWTH-PRACTICE-20260726111112-1,2,True,False
FR-4E,GEOGRAPHY,Géographie,SK-ENR-GEOGRAPHY-4E-URBANIZATION-GROWTH,CH-GEOGRAPHY-4E-URBANIZATION,assessment,REVIEW,draft,104716,104718,PILOT-0012B-AI-ENR-GEOGRAPHY-4E-URBANIZATION-GROWTH-ASSESSMENT-20260725213637-2,2,True,False
FR-4E,GEOGRAPHY,Géographie,SK-ENR-GEOGRAPHY-4E-URBANIZATION-GROWTH,CH-GEOGRAPHY-4E-URBANIZATION,assessment,REVIEW,draft,104720,104722,PILOT-0012B-AI-ENR-GEOGRAPHY-4E-URBANIZATION-GROWTH-ASSESSMENT-20260725213637-3,2,True,False
FR-4E,GEOGRAPHY,Géographie,SK-ENR-GEOGRAPHY-4E-URBANIZATION-GROWTH,CH-GEOGRAPHY-4E-URBANIZATION,assessment,REVIEW,draft,104724,104726,PILOT-0012B-AI-ENR-GEOGRAPHY-4E-URBANIZATION-GROWTH-ASSESSMENT-20260725213708-3,2,True,False
FR-4E,GEOGRAPHY,Géographie,SK-ENR-GEOGRAPHY-4E-URBANIZATION-INEQUALITY,CH-GEOGRAPHY-4E-URBANIZATION,assessment,REVIEW,draft,108732,108734,DRAFT-0012C-AI-ENR-GEOGRAPHY-4E-URBANIZATION-INEQUALITY-ASSESSMENT-20260726111112-1,2,True,False
FR-4E,GEOGRAPHY,Géographie,SK-ENR-GEOGRAPHY-4E-URBANIZATION-INEQUALITY,CH-GEOGRAPHY-4E-URBANIZATION,practice,REVIEW,draft,108728,108730,DRAFT-0012C-AI-ENR-GEOGRAPHY-4E-URBANIZATION-INEQUALITY-PRACTICE-20260726111112-1,2,True,False
FR-4E,GEOGRAPHY,Géographie,SK-ENR-GEOGRAPHY-4E-URBANIZATION-LANDSCAPE,CH-GEOGRAPHY-4E-URBANIZATION,assessment,REVIEW,draft,108724,108726,DRAFT-0012C-AI-ENR-GEOGRAPHY-4E-URBANIZATION-LANDSCAPE-ASSESSMENT-20260726111111-1,2,True,False
FR-4E,GEOGRAPHY,Géographie,SK-ENR-GEOGRAPHY-4E-URBANIZATION-LANDSCAPE,CH-GEOGRAPHY-4E-URBANIZATION,practice,REVIEW,draft,108740,108742,DRAFT-0012C-AI-ENR-GEOGRAPHY-4E-URBANIZATION-LANDSCAPE-PRACTICE-20260726111120-1,2,True,False
FR-4E,GEOGRAPHY,Géographie,SK-ENR-GEOGRAPHY-4E-URBANIZATION-MAP,CH-GEOGRAPHY-4E-URBANIZATION,assessment,REVIEW,draft,108744,108746,DRAFT-0012C-AI-ENR-GEOGRAPHY-4E-URBANIZATION-MAP-ASSESSMENT-20260726111123-1,2,True,False
FR-4E,GEOGRAPHY,Géographie,SK-ENR-GEOGRAPHY-4E-URBANIZATION-MAP,CH-GEOGRAPHY-4E-URBANIZATION,practice,REVIEW,draft,108752,108754,DRAFT-0012C-AI-ENR-GEOGRAPHY-4E-URBANIZATION-MAP-PRACTICE-20260726111125-1,2,True,False
FR-4E,GEOGRAPHY,Géographie,SK-ENR-GEOGRAPHY-4E-URBANIZATION-METROPOLIZATION,CH-GEOGRAPHY-4E-URBANIZATION,assessment,REVIEW,draft,108748,108750,DRAFT-0012C-AI-ENR-GEOGRAPHY-4E-URBANIZATION-METROPOLIZATION-ASSESSMENT-20260726111125-1,2,True,False
FR-4E,GEOGRAPHY,Géographie,SK-ENR-GEOGRAPHY-4E-URBANIZATION-METROPOLIZATION,CH-GEOGRAPHY-4E-URBANIZATION,practice,REVIEW,draft,108756,108758,DRAFT-0012C-AI-ENR-GEOGRAPHY-4E-URBANIZATION-METROPOLIZATION-PRACTICE-20260726111126-1,2,True,False
FR-4E,GEOGRAPHY,Géographie,SK-GEOGRAPHY-4E-GLOBALIZATION,CH-GEOGRAPHY-4E-GLOBALIZATION,assessment,REVIEW,draft,108676,108678,DRAFT-0012C-AI-GEOGRAPHY-4E-GLOBALIZATION-ASSESSMENT-20260726111053-1,2,True,False
FR-4E,GEOGRAPHY,Géographie,SK-GEOGRAPHY-4E-GLOBALIZATION,CH-GEOGRAPHY-4E-GLOBALIZATION,practice,REVIEW,draft,108684,108686,DRAFT-0012C-AI-GEOGRAPHY-4E-GLOBALIZATION-PRACTICE-20260726111054-1,2,True,False
FR-4E,GEOGRAPHY,Géographie,SK-GEOGRAPHY-4E-MOBILITY,CH-GEOGRAPHY-4E-MOBILITY,assessment,REVIEW,draft,108720,108722,DRAFT-0012C-AI-GEOGRAPHY-4E-MOBILITY-ASSESSMENT-20260726111110-1,2,True,False
FR-4E,GEOGRAPHY,Géographie,SK-GEOGRAPHY-4E-MOBILITY,CH-GEOGRAPHY-4E-MOBILITY,practice,REVIEW,draft,108716,108718,DRAFT-0012C-AI-GEOGRAPHY-4E-MOBILITY-PRACTICE-20260726111109-1,2,True,False
FR-4E,GEOGRAPHY,Géographie,SK-GEOGRAPHY-4E-URBANIZATION,CH-GEOGRAPHY-4E-URBANIZATION,assessment,REVIEW,draft,108772,108774,DRAFT-0012C-AI-GEOGRAPHY-4E-URBANIZATION-ASSESSMENT-20260726111129-1,2,True,False
FR-4E,GEOGRAPHY,Géographie,SK-GEOGRAPHY-4E-URBANIZATION,CH-GEOGRAPHY-4E-URBANIZATION,practice,REVIEW,draft,108784,108786,DRAFT-0012C-AI-GEOGRAPHY-4E-URBANIZATION-PRACTICE-20260726111137-1,2,True,False
