content_id,skill_id,chapter_id,subject,family,difficulty_bucket,source_type
3158,81,79,FRENCH,JUSTIFICATION,Difficile,LEGACY_BANK
3159,81,79,FRENCH,REASONING,Facile,LEGACY_BANK
3160,81,79,FRENCH,OPEN_RESPONSE,Moyen,LEGACY_BANK
3161,81,79,FRENCH,REMEDIATION,Difficile,LEGACY_BANK
3162,81,79,FRENCH,TRANSFER,Facile,LEGACY_BANK
3163,81,79,FRENCH,AUTOMATISM,Moyen,LEGACY_BANK
3164,81,79,FRENCH,OPEN_RESPONSE,Facile,LEGACY_BANK
3165,81,79,FRENCH,BREVET_STYLE,Moyen,LEGACY_BANK
3166,81,79,FRENCH,OFFICIAL_ARCHIVE,Difficile,LEGACY_BANK
3175,82,80,FRENCH,MULTI_STEP,Difficile,LEGACY_BANK
3176,82,80,FRENCH,PROBLEM_SOLVING,Facile,LEGACY_BANK
3177,82,80,FRENCH,DOCUMENT_ANALYSIS,Moyen,LEGACY_BANK
3178,82,80,FRENCH,JUSTIFICATION,Difficile,LEGACY_BANK
3179,82,80,FRENCH,OPEN_RESPONSE,Difficile,LEGACY_BANK
3180,82,80,FRENCH,BREVET_STYLE,Facile,LEGACY_BANK
3181,82,80,FRENCH,OFFICIAL_ARCHIVE,Moyen,LEGACY_BANK
3182,82,80,FRENCH,REMEDIATION,Difficile,LEGACY_BANK
3183,82,80,FRENCH,TRANSFER,Difficile,LEGACY_BANK
3184,82,80,FRENCH,AUTOMATISM,Facile,LEGACY_BANK
3185,82,80,FRENCH,OPEN_RESPONSE,Moyen,LEGACY_BANK
3186,82,80,FRENCH,OPEN_RESPONSE,Difficile,LEGACY_BANK
3187,82,80,FRENCH,MULTI_STEP,Difficile,LEGACY_BANK
3188,82,80,FRENCH,JUSTIFICATION,Difficile,LEGACY_BANK
3189,82,80,FRENCH,REASONING,Difficile,LEGACY_BANK
3190,82,80,FRENCH,BREVET_STYLE,Facile,LEGACY_BANK
3191,82,80,FRENCH,REMEDIATION,Difficile,LEGACY_BANK
3192,82,80,FRENCH,DIRECT_APPLICATION,Difficile,LEGACY_BANK
3193,82,80,FRENCH,OPEN_RESPONSE,Facile,LEGACY_BANK
3194,82,80,FRENCH,REASONING,Difficile,LEGACY_BANK
3195,82,80,FRENCH,OPEN_RESPONSE,Difficile,LEGACY_BANK
3196,82,80,FRENCH,AUTOMATISM,Facile,LEGACY_BANK
3197,82,80,FRENCH,DOCUMENT_ANALYSIS,Moyen,LEGACY_BANK
3198,82,80,FRENCH,OFFICIAL_ARCHIVE,Moyen,LEGACY_BANK
3199,82,80,FRENCH,PROBLEM_SOLVING,Facile,LEGACY_BANK
3200,82,80,FRENCH,TRANSFER,Difficile,LEGACY_BANK
3201,82,80,FRENCH,OPEN_RESPONSE,Facile,LEGACY_BANK
3202,82,80,FRENCH,OPEN_RESPONSE,Difficile,LEGACY_BANK
3173,82,80,FRENCH,OPEN_RESPONSE,Moyen,LEGACY_BANK
3174,82,80,FRENCH,DIRECT_APPLICATION,Difficile,LEGACY_BANK
3223,83,80,FRENCH,MULTI_STEP,Difficile,LEGACY_BANK
3224,83,80,FRENCH,OPEN_RESPONSE,Facile,LEGACY_BANK
3225,83,80,FRENCH,DOCUMENT_ANALYSIS,Facile,LEGACY_BANK
3226,83,80,FRENCH,BREVET_STYLE,Difficile,LEGACY_BANK
3227,83,80,FRENCH,REMEDIATION,Moyen,LEGACY_BANK
3228,83,80,FRENCH,TRANSFER,Difficile,LEGACY_BANK
3229,83,80,FRENCH,OPEN_RESPONSE,Moyen,LEGACY_BANK
3230,83,80,FRENCH,AUTOMATISM,Difficile,LEGACY_BANK
3231,83,80,FRENCH,OPEN_RESPONSE,Difficile,LEGACY_BANK
3232,83,80,FRENCH,OPEN_RESPONSE,Difficile,LEGACY_BANK
3203,83,80,FRENCH,DIRECT_APPLICATION,Moyen,LEGACY_BANK
3204,83,80,FRENCH,MULTI_STEP,Difficile,LEGACY_BANK
3205,83,80,FRENCH,PROBLEM_SOLVING,Difficile,LEGACY_BANK
3206,83,80,FRENCH,DOCUMENT_ANALYSIS,Facile,LEGACY_BANK
3207,83,80,FRENCH,JUSTIFICATION,Moyen,LEGACY_BANK
3208,83,80,FRENCH,REASONING,Difficile,LEGACY_BANK
3209,83,80,FRENCH,OPEN_RESPONSE,Difficile,LEGACY_BANK
3210,83,80,FRENCH,OFFICIAL_ARCHIVE,Facile,LEGACY_BANK
3211,83,80,FRENCH,REMEDIATION,Moyen,LEGACY_BANK
3212,83,80,FRENCH,TRANSFER,Difficile,LEGACY_BANK
3213,83,80,FRENCH,AUTOMATISM,Difficile,LEGACY_BANK
3214,83,80,FRENCH,OPEN_RESPONSE,Facile,LEGACY_BANK
3215,83,80,FRENCH,DIRECT_APPLICATION,Moyen,LEGACY_BANK
3216,83,80,FRENCH,OPEN_RESPONSE,Difficile,LEGACY_BANK
3217,83,80,FRENCH,PROBLEM_SOLVING,Difficile,LEGACY_BANK
3218,83,80,FRENCH,JUSTIFICATION,Moyen,LEGACY_BANK
3219,83,80,FRENCH,REASONING,Difficile,LEGACY_BANK
3220,83,80,FRENCH,BREVET_STYLE,Difficile,LEGACY_BANK
3221,83,80,FRENCH,OFFICIAL_ARCHIVE,Facile,LEGACY_BANK
3222,83,80,FRENCH,OPEN_RESPONSE,Moyen,LEGACY_BANK
3257,85,81,FRENCH,DOCUMENT_ANALYSIS,Difficile,LEGACY_BANK
3258,85,81,FRENCH,OPEN_RESPONSE,Facile,LEGACY_BANK
3259,85,81,FRENCH,AUTOMATISM,Moyen,LEGACY_BANK
3260,85,81,FRENCH,DIRECT_APPLICATION,Difficile,LEGACY_BANK
3261,85,81,FRENCH,OPEN_RESPONSE,Moyen,LEGACY_BANK
3262,85,81,FRENCH,OPEN_RESPONSE,Difficile,LEGACY_BANK
3233,85,81,FRENCH,PROBLEM_SOLVING,Moyen,LEGACY_BANK
3234,85,81,FRENCH,DOCUMENT_ANALYSIS,Difficile,LEGACY_BANK
3235,85,81,FRENCH,JUSTIFICATION,Difficile,LEGACY_BANK
3236,85,81,FRENCH,REASONING,Facile,LEGACY_BANK
3237,85,81,FRENCH,BREVET_STYLE,Moyen,LEGACY_BANK
3238,85,81,FRENCH,OFFICIAL_ARCHIVE,Difficile,LEGACY_BANK
3239,85,81,FRENCH,OPEN_RESPONSE,Difficile,LEGACY_BANK
3240,85,81,FRENCH,TRANSFER,Facile,LEGACY_BANK
3241,85,81,FRENCH,AUTOMATISM,Moyen,LEGACY_BANK
3242,85,81,FRENCH,OPEN_RESPONSE,Difficile,LEGACY_BANK
3243,85,81,FRENCH,DIRECT_APPLICATION,Difficile,LEGACY_BANK
3244,85,81,FRENCH,MULTI_STEP,Facile,LEGACY_BANK
3245,85,81,FRENCH,PROBLEM_SOLVING,Moyen,LEGACY_BANK
3246,85,81,FRENCH,JUSTIFICATION,Difficile,LEGACY_BANK
3247,85,81,FRENCH,REASONING,Facile,LEGACY_BANK
3248,85,81,FRENCH,BREVET_STYLE,Moyen,LEGACY_BANK
3249,85,81,FRENCH,OFFICIAL_ARCHIVE,Difficile,LEGACY_BANK
3250,85,81,FRENCH,REMEDIATION,Difficile,LEGACY_BANK
3251,85,81,FRENCH,OPEN_RESPONSE,Moyen,LEGACY_BANK
3252,85,81,FRENCH,OPEN_RESPONSE,Difficile,LEGACY_BANK
3253,85,81,FRENCH,OPEN_RESPONSE,Facile,LEGACY_BANK
3254,85,81,FRENCH,REMEDIATION,Difficile,LEGACY_BANK
3255,85,81,FRENCH,TRANSFER,Facile,LEGACY_BANK
3256,85,81,FRENCH,MULTI_STEP,Facile,LEGACY_BANK
3287,86,81,FRENCH,JUSTIFICATION,Difficile,LEGACY_BANK
3288,86,81,FRENCH,OPEN_RESPONSE,Difficile,LEGACY_BANK
3289,86,81,FRENCH,MULTI_STEP,Difficile,LEGACY_BANK
3290,86,81,FRENCH,TRANSFER,Difficile,LEGACY_BANK
3291,86,81,FRENCH,OPEN_RESPONSE,Moyen,LEGACY_BANK
3292,86,81,FRENCH,OPEN_RESPONSE,Facile,LEGACY_BANK
3263,86,81,FRENCH,DOCUMENT_ANALYSIS,Moyen,LEGACY_BANK
3264,86,81,FRENCH,JUSTIFICATION,Difficile,LEGACY_BANK
3265,86,81,FRENCH,REASONING,Difficile,LEGACY_BANK
3266,86,81,FRENCH,BREVET_STYLE,Facile,LEGACY_BANK
3267,86,81,FRENCH,OFFICIAL_ARCHIVE,Moyen,LEGACY_BANK
3268,86,81,FRENCH,REMEDIATION,Difficile,LEGACY_BANK
3269,86,81,FRENCH,OPEN_RESPONSE,Difficile,LEGACY_BANK
3270,86,81,FRENCH,AUTOMATISM,Facile,LEGACY_BANK
3271,86,81,FRENCH,OPEN_RESPONSE,Moyen,LEGACY_BANK
3272,86,81,FRENCH,DIRECT_APPLICATION,Difficile,LEGACY_BANK
3273,86,81,FRENCH,MULTI_STEP,Difficile,LEGACY_BANK
3274,86,81,FRENCH,PROBLEM_SOLVING,Facile,LEGACY_BANK
3275,86,81,FRENCH,DOCUMENT_ANALYSIS,Moyen,LEGACY_BANK
3276,86,81,FRENCH,OPEN_RESPONSE,Difficile,LEGACY_BANK
3277,86,81,FRENCH,REASONING,Difficile,LEGACY_BANK
3278,86,81,FRENCH,BREVET_STYLE,Facile,LEGACY_BANK
3279,86,81,FRENCH,OFFICIAL_ARCHIVE,Moyen,LEGACY_BANK
3280,86,81,FRENCH,REMEDIATION,Difficile,LEGACY_BANK
3281,86,81,FRENCH,TRANSFER,Difficile,LEGACY_BANK
3282,86,81,FRENCH,AUTOMATISM,Facile,LEGACY_BANK
3283,86,81,FRENCH,DIRECT_APPLICATION,Difficile,LEGACY_BANK
3284,86,81,FRENCH,PROBLEM_SOLVING,Facile,LEGACY_BANK
3285,86,81,FRENCH,OPEN_RESPONSE,Facile,LEGACY_BANK
3286,86,81,FRENCH,OPEN_RESPONSE,Difficile,LEGACY_BANK
3293,87,82,FRENCH,JUSTIFICATION,Moyen,LEGACY_BANK
3294,87,82,FRENCH,REASONING,Difficile,LEGACY_BANK
3295,87,82,FRENCH,BREVET_STYLE,Difficile,LEGACY_BANK
3296,87,82,FRENCH,OFFICIAL_ARCHIVE,Facile,LEGACY_BANK
3297,87,82,FRENCH,REMEDIATION,Moyen,LEGACY_BANK
3298,87,82,FRENCH,TRANSFER,Difficile,LEGACY_BANK
3299,87,82,FRENCH,OPEN_RESPONSE,Difficile,LEGACY_BANK
3324,88,82,FRENCH,DIRECT_APPLICATION,Facile,LEGACY_BANK
3325,88,82,FRENCH,JUSTIFICATION,Facile,LEGACY_BANK
3326,88,82,FRENCH,OPEN_RESPONSE,Moyen,LEGACY_BANK
3327,88,82,FRENCH,OPEN_RESPONSE,Facile,LEGACY_BANK
3328,88,82,FRENCH,TRANSFER,Moyen,LEGACY_BANK
3329,88,82,FRENCH,REMEDIATION,Facile,LEGACY_BANK
3300,88,82,FRENCH,REASONING,Moyen,LEGACY_BANK
3301,88,82,FRENCH,BREVET_STYLE,Difficile,LEGACY_BANK
3302,88,82,FRENCH,OFFICIAL_ARCHIVE,Difficile,LEGACY_BANK
3303,88,82,FRENCH,REMEDIATION,Facile,LEGACY_BANK
3304,88,82,FRENCH,TRANSFER,Moyen,LEGACY_BANK
3305,88,82,FRENCH,AUTOMATISM,Difficile,LEGACY_BANK
3306,88,82,FRENCH,OPEN_RESPONSE,Difficile,LEGACY_BANK
3307,88,82,FRENCH,DIRECT_APPLICATION,Facile,LEGACY_BANK
3308,88,82,FRENCH,MULTI_STEP,Moyen,LEGACY_BANK
3309,88,82,FRENCH,PROBLEM_SOLVING,Difficile,LEGACY_BANK
3310,88,82,FRENCH,DOCUMENT_ANALYSIS,Difficile,LEGACY_BANK
3311,88,82,FRENCH,JUSTIFICATION,Facile,LEGACY_BANK
3312,88,82,FRENCH,OPEN_RESPONSE,Difficile,LEGACY_BANK
3313,88,82,FRENCH,AUTOMATISM,Difficile,LEGACY_BANK
3314,88,82,FRENCH,OPEN_RESPONSE,Moyen,LEGACY_BANK
3315,88,82,FRENCH,PROBLEM_SOLVING,Difficile,LEGACY_BANK
3316,88,82,FRENCH,DOCUMENT_ANALYSIS,Difficile,LEGACY_BANK
3317,88,82,FRENCH,REASONING,Moyen,LEGACY_BANK
3318,88,82,FRENCH,BREVET_STYLE,Difficile,LEGACY_BANK
3319,88,82,FRENCH,OFFICIAL_ARCHIVE,Difficile,LEGACY_BANK
3320,88,82,FRENCH,OPEN_RESPONSE,Facile,LEGACY_BANK
3321,88,82,FRENCH,OPEN_RESPONSE,Difficile,LEGACY_BANK
3322,88,82,FRENCH,MULTI_STEP,Moyen,LEGACY_BANK
3323,88,82,FRENCH,OPEN_RESPONSE,Difficile,LEGACY_BANK
3346,90,83,FRENCH,OPEN_RESPONSE,Facile,LEGACY_BANK
3347,90,83,FRENCH,DOCUMENT_ANALYSIS,Moyen,LEGACY_BANK
3348,90,83,FRENCH,JUSTIFICATION,Difficile,LEGACY_BANK
3349,90,83,FRENCH,BREVET_STYLE,Facile,LEGACY_BANK
3350,90,83,FRENCH,OFFICIAL_ARCHIVE,Moyen,LEGACY_BANK
3351,90,83,FRENCH,TRANSFER,Difficile,LEGACY_BANK
3352,90,83,FRENCH,OPEN_RESPONSE,Difficile,LEGACY_BANK
3353,90,83,FRENCH,MULTI_STEP,Difficile,LEGACY_BANK
3354,90,83,FRENCH,REMEDIATION,Difficile,LEGACY_BANK
3355,90,83,FRENCH,DIRECT_APPLICATION,Difficile,LEGACY_BANK
3356,90,83,FRENCH,REASONING,Difficile,LEGACY_BANK
3357,90,83,FRENCH,AUTOMATISM,Facile,LEGACY_BANK
3358,90,83,FRENCH,OPEN_RESPONSE,Facile,LEGACY_BANK
3359,90,83,FRENCH,OPEN_RESPONSE,Difficile,LEGACY_BANK
